observation	subject	trial	gap_size	target_size	correct_side	dots_left	dots_right	dotpair_id	vagueness	Text	is_error	rt
365	6	45	Small	Small	Left	2	4	2:4	Vague	few	0	1008
366	6	46	Big	Small	Left	4	8	8:4	Vague	few	0	1142
367	6	47	Small	Big	Left	9	7	7:9	Vague	many	0	2264
368	6	48	Small	Big	Right	2	4	2:4	Vague	many	0	2026
369	6	49	Big	Big	Left	7	3	7:3	Vague	many	0	1066
370	6	50	Big	Small	Right	6	2	2:6	Vague	few	0	1289
371	6	51	Small	Small	Right	4	2	2:4	Crisp	two	0	1054
372	6	52	Big	Big	Left	7	3	7:3	Crisp	seven	0	907
373	6	53	Big	Small	Left	4	8	8:4	Crisp	four	0	1045
374	6	54	Small	Big	Left	5	3	3:5	Crisp	five	0	1059
375	6	55	Big	Big	Right	5	9	5:9	Crisp	nine	0	2864
376	6	56	Big	Small	Right	6	2	2:6	Crisp	two	0	917
377	6	57	Big	Big	Left	9	5	5:9	Crisp	nine	0	1374
378	6	58	Small	Small	Right	8	6	6:8	Vague	few	0	1606
379	6	59	Small	Small	Left	3	5	3:5	Vague	few	0	976
380	6	60	Big	Small	Right	9	5	5:9	Crisp	five	0	1167
381	6	61	Big	Big	Right	4	8	8:4	Crisp	eight	0	1368
382	6	62	Small	Small	Right	8	6	6:8	Crisp	six	0	1769
383	6	63	Big	Small	Left	5	9	5:9	Crisp	five	0	1309
384	6	64	Small	Small	Left	2	4	2:4	Crisp	two	0	928
385	7	1	Big	Small	Right	9	5	5:9	Crisp	five	0	1586
386	7	2	Small	Big	Left	5	3	3:5	Vague	many	0	893
387	7	3	Big	Small	Left	2	6	2:6	Vague	few	0	874
388	7	4	Big	Small	Left	2	6	2:6	Crisp	two	0	806
389	7	5	Small	Big	Right	7	9	7:9	Crisp	nine	0	1444
390	7	6	Big	Big	Right	4	8	8:4	Vague	many	0	2204
391	7	7	Big	Big	Left	9	5	5:9	Vague	many	0	649
392	7	8	Big	Big	Left	8	4	8:4	Crisp	eight	0	773
393	7	9	Small	Small	Left	6	8	6:8	Vague	few	0	1853
394	7	10	Small	Small	Left	7	9	7:9	Crisp	seven	0	1454
395	7	11	Small	Big	Left	8	6	6:8	Crisp	eight	0	1956
